cndx,mid,cid
1,703,18
2,704,17
3,705,8
4,707,21
5,710,6
6,716,6
7,716,5
8,718,15
9,719,6
10,720,21
11,721,1
12,722,16
13,723,3
14,724,21
15,725,17
16,726,21
17,727,12
18,728,21
19,729,21
20,730,6
21,731,6
22,732,6
23,733,21
24,734,17
25,735,21
26,736,21
27,737,17
28,738,21
29,739,6
30,740,21
31,741,21
32,742,21
33,743,21
34,744,6
35,745,17
36,746,11
37,746,9
38,747,17
39,748,21
40,749,21
41,750,21
42,751,17
43,752,21
44,753,9
45,754,21
46,755,21
47,756,6
48,756,4
49,757,21
50,758,20
51,759,21
52,760,21
53,761,6
54,762,21
55,763,19
56,764,21
57,765,21
58,766,17
59,767,21
60,767,20
61,768,21
62,769,6
63,770,21
64,771,10
65,771,21
66,771,7
67,772,3
68,773,21
69,774,21
70,775,6
71,775,21
72,775,5
73,776,13
74,777,21
75,778,3
76,779,17
77,780,19
78,781,6
79,782,2
80,782,14
81,783,21
82,784,9
83,785,21
84,786,7
85,787,21
86,788,6
87,789,21
88,790,21
89,791,21
90,791,10
91,792,21
92,794,21
93,794,10
94,795,21
95,796,21
96,797,21
97,798,17
98,799,21
99,800,21
100,702,21
101,702,15
102,701,22
103,700,17
104,700,10
105,700,21
106,699,21
107,698,21
108,697,21
109,696,21
110,695,11